source_center,destination_center,source_name,destination_name,median_factor,total_trips,median_osrm_dist_km,pct_delayed,is_sparse,is_chronically_delayed
IND421302AAG,IND131028AAB,Bhiwandi_Mankoli_HB (Maharashtra),Sonipat_Kundli_H (Haryana),1.9119395657329183,14,1427.2415,1.0,False,True
IND123001AAA,IND123401AAB,Narnaul_DC (Haryana),Rewari_YuktiDPP_D (Haryana),1.911764705882353,13,44.1692,1.0,False,True
IND416012AAA,IND415003AAA,Kolhapur_Shivaji_I (Maharashtra),Satara_DC (Maharashtra),1.9114583333333335,8,121.39605,1.0,False,True
IND305001AAC,IND342602AAC,Ajmer_FoySGRRD_I (Rajasthan),Bilara_Central_DPP_2 (Rajasthan),1.9114583333333333,2,129.9931,1.0,True,True
IND635802AAB,IND635601AAB,Ambur_Central_D_2 (Tamil Nadu),Tiruppattur_KoilStrt_D (Tamil Nadu),1.9112042682926826,10,49.869550000000004,1.0,False,True
IND000000ACB,IND501359AAE,Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana),1.909871244635193,29,1562.7023000000002,1.0,False,True
IND424006AAA,IND425405AAA,Dhule_MIDCAvdn_I (Maharashtra),Shirpur_KrantiNgr_D (Maharashtra),1.909090909090909,3,59.5702,1.0,True,True
IND783301AAA,IND783348AAA,Dhubri_Tetultol_D (Assam),Bilasipara_Wardno5_D (Assam),1.9090909090909087,11,43.2133,1.0,False,True
IND395023AAA,IND394221AAA,Surat_HUB (Gujarat),Surat_Pandesra_Gateway (Gujarat),1.9090909090909087,1,10.9696,1.0,True,True
IND250611AAA,IND247776AAA,Baraut_SrnprHwy_D (Uttar Pradesh),Shamli_KarnalRd_D (Uttar Pradesh),1.9090909090909087,11,39.5746,1.0,False,True
